1	Wise	OH	6.25	Wood	100.00	5.15	4.75	515.00	475.00	61.88	1051.88
2	West	IN	6.00	Carpet	176.50	2.25	2.10	397.13	370.65	46.07	813.84
3	White	PA	6.25	Wood	213.67	5.15	4.75	1100.39	1014.92	132.21	2247.51
4	Mosher	OH	6.25	Carpet	214.00	2.25	2.10	481.50	449.40	58.18	989.08
5	Paulette	VA	5.30	Laminate	193.00	1.75	2.10	337.75	405.30	39.38	782.43
6	Petersheim	VA	5.30	Wood	180.75	5.15	4.75	930.86	858.56	94.84	1884.26
7	Stillwell	VA	5.30	Wood	203.50	5.15	4.75	1048.03	966.63	106.78	2121.43
8	Beresford	VA	5.30	Laminate	187.75	1.75	2.10	328.56	394.28	38.31	761.15
9	Ashley	WV	6.00	Carpet	201.00	2.25	2.10	452.25	422.10	52.46	926.81
10	Frank	KY	6.00	Laminate	192.00	1.75	2.10	336.00	403.20	44.35	783.55
11	McDonald	IL	6.25	Carpet	186.25	2.25	2.10	419.06	391.13	50.64	860.82
12	Steele	MO	4.23	Carpet	178.00	2.25	2.10	400.50	373.80	32.75	807.05
13	Winston	TN	7.00	Tile	208.00	3.50	4.15	728.00	863.20	111.38	1702.58
14	Hamilton	MN	6.88	Laminate	189.00	1.75	2.10	330.75	396.90	50.06	777.71
15	Stephens	ND	5.00	Carpet	196.67	2.25	2.10	442.50	413.00	42.78	898.28
16	Hayes	SD	4.00	Wood	206.00	5.15	4.75	1060.90	978.50	81.58	2120.98
17	Fowler	IA	6.00	Laminate	222.50	1.75	2.10	389.38	467.25	51.40	908.02
18	Wells	WI	5.00	Tile	204.00	3.50	4.15	714.00	846.60	78.03	1638.63
19	Wheeler	KY	6.00	Laminate	198.75	1.75	2.10	347.81	417.38	45.91	811.10
20	Torres	MN	6.88	Tile	216.00	3.50	4.15	756.00	896.40	113.69	1766.09
21	Marlowe	WI	5.00	Wood	192.00	5.15	4.75	988.80	912.00	95.04	1995.84
22	Suarez	MO	4.23	Tile	215.00	3.50	4.15	752.50	892.25	69.57	1714.32
23	Daniels	KY	6.00	Carpet	210.00	2.25	2.10	472.50	441.00	54.81	968.31
24	Lange	OH	6.25	Laminate	219.33	1.75	2.10	383.83	460.60	52.78	897.21
25	Ostrander	IL	6.25	Laminate	207.50	1.75	2.10	363.13	435.75	49.93	848.80
26	Metcalf	PA	6.25	Carpet	197.75	2.25	2.10	444.94	415.28	53.76	913.98
27	Stackhouse	WV	6.00	Carpet	194.00	2.25	2.10	436.50	407.40	50.63	894.53
28	Yeager	MN	6.88	Tile	190.00	3.50	4.15	665.00	788.50	100.00	1553.50
29	Goldstein	IN	6.00	Laminate	195.00	1.75	2.10	341.25	409.50	45.05	795.80
30	Lindsay	ND	5.00	Tile	205.75	3.50	4.15	720.13	853.86	78.70	1652.69
31	Rodriguez	OH	6.25	Wood	221.25	5.15	4.75	1139.44	1050.94	136.90	2327.27
32	Loomis	TN	7.00	Carpet	188.00	2.25	2.10	423.00	394.80	57.25	875.05
33	Beauregard	VA	5.30	Laminate	202.50	1.75	2.10	354.38	425.25	41.32	820.95
34	Ayala	OH	6.25	Wood	224.33	5.15	4.75	1155.31	1065.58	138.81	2359.70
35	Leblanc	MN	6.88	Carpet	211.00	2.25	2.10	474.75	443.10	63.15	981.00
36	Hastings	KY	6.00	Wood	179.00	5.15	4.75	921.85	850.25	106.33	1878.43
37	Greene	OH	6.25	Tile	199.50	3.50	4.15	698.25	827.93	95.39	1621.56
38	Spear	IA	6.00	Tile	209.00	3.50	4.15	731.50	867.35	95.93	1694.78
39	Hansen	VA	5.30	Wood	185.00	5.15	4.75	952.75	878.75	97.07	1928.57
40	Streeter	SD	4.00	Laminate	170.67	1.75	2.10	298.67	358.40	26.28	683.35
