1	Mosher	OH	6.25	Tile	168.0	3.5	4.15	588.0	697.2	80.33	1365.53
1	Wise	OH	6.25	Wood	100.0	5.15	4.75	515.0	475.0	61.88	1051.88
2	West	IN	6.0	Carpet	176.5	2.25	2.1	397.13	370.65	46.07	813.84
3	White	PA	6.25	Wood	213.67	5.15	4.75	1100.39	1014.92	132.21	2247.51
4	Mosher	OH	6.25	Carpet	214.0	2.25	2.1	481.5	449.4	58.18	989.08
5	Paulette	VA	5.3	Laminate	193.0	1.75	2.1	337.75	405.3	39.38	782.43
6	Petersheim	VA	5.3	Wood	180.75	5.15	4.75	930.86	858.56	94.84	1884.26
7	Stillwell	VA	5.3	Wood	203.5	5.15	4.75	1048.03	966.63	106.78	2121.43
8	Beresford	VA	5.3	Laminate	187.75	1.75	2.1	328.56	394.28	38.31	761.15
9	Ashley	WV	6.0	Carpet	201.0	2.25	2.1	452.25	422.1	52.46	926.81
10	Frank	KY	6.0	Laminate	192.0	1.75	2.1	336.0	403.2	44.35	783.55
11	McDonald	IL	6.25	Carpet	186.25	2.25	2.1	419.06	391.13	50.64	860.82
12	Steele	MO	4.23	Carpet	178.0	2.25	2.1	400.5	373.8	32.75	807.05
13	Winston	TN	7.0	Tile	208.0	3.5	4.15	728.0	863.2	111.38	1702.58
14	Hamilton	MN	6.88	Laminate	189.0	1.75	2.1	330.75	396.9	50.06	777.71
15	Stephens	ND	5.0	Carpet	196.67	2.25	2.1	442.5	413.0	42.78	898.28
